GNAF_PID,LONGITUDE,LATITUDE,FULL_ADDRESS,LOCALITY,POSTCODE,STATE,RELIABILITY,IAG_COORDINATE,SOURCE_TYPE,AVERAGE_ANNUAL_DAMAGE,FLOOD_FREQUENCY
GANSW706148115,153.52848602,-28.17911312,20 DUCAT STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706161571,153.52642713,-28.18323819,68 DUCAT STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,H
GANSW706168230,153.52859618,-28.18542089,84 COMPANION WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW712297204,153.53173116,-28.18500572,"UNIT 3, 15 MARGARET STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW712322487,153.53019121,-28.17538562,"UNIT 1, 28 MURRABA CRESCENT",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706134980,153.53067391,-28.17818207,14 MUGGA WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706137817,153.52590165,-28.18525188,101 DUCAT STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,H,H
GANSW706144757,153.53209793,-28.18039657,24 THE QUARTERDECK,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706162054,153.52810305,-28.18032231,5 COMPASS WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW712300875,153.53173116,-28.18500572,"UNIT 1, 15 MARGARET STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706179279,153.53149414,-28.17973804,6 THE ANCHORAGE,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706158006,153.52750239,-28.18513349,19 MERIDIAN WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706144486,153.53025648,-28.18508649,"UNIT 2, 103 COMPANION WAY",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW712399956,153.52919348,-28.18490198,107 COMPANION WAY,TWEED HEADS,2485,NSW,4,1,GOVERNMENT FLOOD MAPPING,M,L
