CE_PID,NAME,STATE_PID,ST_ABBREV,COUNT_BY_GOV_FM,COUNT_BY_GOV_OD,COUNT_BY_INTERNAL_MODEL,COUNT_BY_3RD_PARTY,COUNT_LOW_AAD,COUNT_MEDIUM_AAD,COUNT_HIGH_AAD,COUNT_LOW_FREQUENCY,COUNT_MEDIUM_FREQUENCY,COUNT_HIGH_FREQUENCY,TOTAL_AAD,RANK_AAD
NSW47,GILMORE,1,NSW,29611,0,47289,58,70712,3145,3043,72597,2279,2024,19111000,17
NSW11,HUGHES,1,NSW,24960,0,35919,0,53704,4155,3020,57646,2231,1002,13699000,24
QLD4,LONGMAN,3,QLD,73361,0,0,0,69305,3043,1013,69078,1156,3127,7506000,44
WA17,BRAND,5,WA,0,11302,61731,0,72330,449,254,72301,252,480,1812000,95
NSW39,RICHMOND,1,NSW,55255,0,10013,0,44098,15131,6039,57147,2867,5254,35679000,5
NSW42,REID,1,NSW,44655,0,40639,0,82459,2113,722,82336,2178,780,2179000,89
QLD15,HERBERT,3,QLD,0,0,68359,6412,66036,1329,994,66518,1255,586,3056000,78
QLD26,FAIRFAX,3,QLD,58371,0,23771,1792,74186,7886,70,74187,7885,70,3184000,76
QLD27,FISHER,3,QLD,62400,0,2817,32,60581,4618,18,60582,4617,18,1882000,94
NSW27,MACARTHUR,1,NSW,7718,0,47057,0,53590,747,438,54256,269,250,3998000,71
NSW5,ROBERTSON,1,NSW,28642,20158,28522,4,75456,940,926,75932,348,1042,7159000,46
SA6,MAKIN,4,SA,0,0,70727,0,70165,344,218,70131,142,454,699000,108
VIC30,LALOR,2,VIC,0,0,85955,0,82469,2137,1349,82680,2235,1040,3590000,74
NSW12,NEW ENGLAND,1,NSW,13104,0,45065,5866,53502,2502,2165,56063,1425,681,12955000,25
NSW21,CHIFLEY,1,NSW,11460,0,51868,632,62428,769,131,63144,95,89,653000,111
SA8,KINGSTON,4,SA,0,0,71270,0,70769,214,287,70794,130,346,843000,105
NSW2,CHARLTON,1,NSW,39236,0,22369,0,58769,2079,757,59932,1049,624,2813000,83
NSW50,MCMAHON,1,NSW,25730,0,27968,0,51791,690,1217,51913,475,1310,5506000,57
QLD22,PETRIE,3,QLD,65997,0,13204,0,76102,1610,1489,75904,555,2742,5480000,58
WA31,SWAN,5,WA,0,55113,41210,0,94812,1171,340,95840,399,84,2061000,92
NSW3,KINGSFORD SMITH,1,NSW,0,0,83404,47,79936,2413,1055,81629,1775,0,3999000,70
QLD1,WIDE BAY,3,QLD,16045,0,59421,5722,65912,5654,3900,67093,6096,2277,18599000,18
TAS1,BASS,6,TAS,0,0,31223,23568,28725,1568,930,28724,1569,930,3635000,73
TAS3,FRANKLIN,6,TAS,2149,0,45218,1328,44692,1981,694,44713,1885,769,4016000,69
VIC22,MELBOURNE PORTS,2,VIC,0,0,104735,0,89981,10721,4033,88158,4350,12227,1579000,97
NSW48,WENTWORTH,1,NSW,2094,0,107350,488,109143,47,254,109146,28,270,4583000,63
QLD19,BLAIR,3,QLD,130,3040,57789,821,50964,4828,5167,56602,3300,1057,17907000,19
QLD5,MCPHERSON,3,QLD,1429,0,31981,53705,27459,4008,1943,30020,2338,1052,7294000,45
SA11,BARKER,4,SA,14575,0,32955,25203,43220,3159,1151,43415,3392,723,7137000,47
VIC2,MALLEE,2,VIC,3144,23809,16206,18744,32442,9409,1308,38899,4121,139,6746000,49
NSW51,PATERSON,1,NSW,41448,0,38142,271,70717,6473,2400,75566,2577,1447,10939000,30
QLD10,DICKSON,3,QLD,59245,0,4,0,57909,786,554,57980,285,984,4581000,64
VIC16,MCMILLAN,2,VIC,7899,5408,57562,22,69915,879,75,70194,424,251,484000,116
VIC18,CALWELL,2,VIC,0,0,61446,0,61434,3,9,61435,2,9,48000,140
VIC26,CHISHOLM,2,VIC,0,0,80370,0,80364,6,0,80361,8,1,2000,148
VIC28,GORTON,2,VIC,0,0,68916,0,68156,574,186,68276,240,400,681000,110
WA18,CANNING,5,WA,839,54056,18643,6242,72096,851,591,71715,1312,511,2398000,87
WA20,CURTIN,5,WA,0,14713,61679,0,70240,1989,4163,72187,2858,1347,8370000,38
WA22,FORREST,5,WA,18253,0,32914,19983,44383,5832,952,44329,5793,1045,7728000,41
WA25,MOORE,5,WA,0,0,57302,0,56925,141,236,57049,87,166,2133000,91
NSW30,GREENWAY,1,NSW,29780,0,30254,4483,59184,399,451,59321,185,528,1397000,99
NSW36,BARTON,1,NSW,2870,0,55552,12672,57927,427,68,58072,333,17,399000,122
NSW43,WATSON,1,NSW,0,0,55600,15734,55268,308,24,55562,38,0,145000,130
WA28,PEARCE,5,WA,0,8224,42909,17197,47302,2257,1574,49553,750,830,12848000,26
NSW7,COOK,1,NSW,14916,0,59682,0,74312,154,132,74440,134,24,888000,104
QLD11,RANKIN,3,QLD,0,7378,65934,0,72078,751,483,72676,401,235,1509000,98
NT1,SOLOMON,7,NT,0,0,0,44555,0,0,0,0,0,0,0,149
SA5,MAYO,4,SA,767,0,13745,52997,14436,37,39,14439,31,42,142000,131
TAS4,LYONS,6,TAS,5637,0,47008,2087,44802,5000,2843,44853,4931,2861,10608000,32
WA27,O'CONNOR,5,WA,1695,0,30495,48334,30547,756,887,30547,735,908,3099000,77
TAS2,BRADDON,6,TAS,839,0,47329,1192,42544,3721,1903,42531,3675,1962,6739000,50
TAS5,DENISON,6,TAS,0,0,56659,4,56466,132,61,56461,89,109,780000,107
WA29,PERTH,5,WA,0,43931,41671,0,82805,2215,582,84705,447,450,5081000,60
NSW8,SYDNEY,1,NSW,3576,0,100489,1011,103993,71,1,104062,3,0,9000,146
NT2,LINGIARI,7,NT,10740,0,0,24227,6856,2095,1789,6856,3584,300,6983000,48
QLD21,GROOM,3,QLD,433,0,70611,138,68919,1715,410,68919,1715,410,2522000,86
VIC12,MENZIES,2,VIC,0,0,60903,0,60879,14,10,60885,7,11,54000,139
VIC4,WANNON,2,VIC,7585,827,47641,1299,51745,3447,861,52717,3186,150,4263000,67
NSW10,BANKS,1,NSW,8232,0,63806,0,71682,283,73,71946,79,13,425000,120
NSW16,BLAXLAND,1,NSW,6695,0,63850,0,68663,1104,778,69636,395,514,2702000,85
NSW34,HUNTER,1,NSW,29650,0,29084,3031,49545,4213,4976,54125,4241,368,15612000,21
QLD18,DAWSON,3,QLD,11069,0,36449,26254,36678,10509,331,45673,1615,230,3255000,75
VIC5,HOLT,2,VIC,0,0,73925,0,73819,65,41,73807,14,104,115000,133
WA24,HASLUCK,5,WA,0,8197,53586,421,60339,1162,282,61241,273,269,1585000,96
ACT3,CANBERRA,8,ACT,30920,0,50282,0,79484,370,1348,79855,1300,47,2950000,81
ACT4,FENNER,8,ACT,44707,0,38750,0,76424,1143,5890,77555,5827,75,8838000,35
NSW31,BEROWRA,1,NSW,5047,0,39343,0,44085,148,157,44220,82,88,1131000,102
QLD23,FORDE,3,QLD,0,0,63772,7006,60756,2097,919,61334,1949,489,4536000,66
QLD30,WRIGHT,3,QLD,0,0,51383,11151,48547,1660,1176,48681,1601,1101,6449000,53
