LGA_PID,LGA_NAME,STATE_PID,ST_ABBREV,COUNT_BY_GOV_FM,COUNT_BY_GOV_OD,COUNT_BY_INTERNAL_MODEL,COUNT_BY_3RD_PARTY,COUNT_LOW_AAD,COUNT_MEDIUM_AAD,COUNT_HIGH_AAD,COUNT_LOW_FREQUENCY,COUNT_MEDIUM_FREQUENCY,COUNT_HIGH_FREQUENCY,TOTAL_AAD,RANK_AAD
NSW189,WARRINGAH COUNCIL,1,NSW,23907,0,47011,121,69381,596,941,69641,399,878,3687000,63
NSW205,HOLROYD CITY COUNCIL,1,NSW,25807,0,18849,0,44249,353,54,44366,148,142,360000,258
QLD307,WUJAL WUJAL ABORIGINAL SHIRE,3,QLD,0,0,0,0,0,0,0,0,0,0,0,497
QLD318,MAREEBA SHIRE,3,QLD,0,0,0,8377,0,0,0,0,0,0,909000,184
QLD35,CARPENTARIA SHIRE,3,QLD,0,0,0,2176,0,0,0,0,0,0,1198000,156
NSW173,BLAYNEY SHIRE COUNCIL,1,NSW,0,0,3515,0,3289,146,80,3400,115,0,290000,280
NSW174,UPPER LACHLAN SHIRE COUNCIL,1,NSW,0,0,2779,139,2689,52,38,2734,45,0,186000,318
NSW256,BLAND SHIRE COUNCIL,1,NSW,0,0,0,2943,0,0,0,0,0,0,52000,390
NSW296,MOREE PLAINS SHIRE COUNCIL,1,NSW,4789,0,44,822,1517,1089,2227,2854,1672,307,4636000,54
QLD289,ROCKHAMPTON REGIONAL,3,QLD,20935,12322,0,3350,29256,2569,1432,31338,881,1038,7177000,39
QLD301,DOOMADGEE ABORIGINAL SHIRE,3,QLD,0,0,0,229,0,0,0,0,0,0,1000,480
QLD312,WESTERN DOWNS REGIONAL,3,QLD,561,0,52,15575,50,562,1,50,563,0,7102000,40
QLD89,LOGAN CITY,3,QLD,0,0,130070,30,126247,2281,1542,127164,2107,799,6502000,45
NSW161,LITHGOW CITY COUNCIL,1,NSW,0,0,9273,0,8691,347,235,9002,271,0,726000,209
NSW235,BATHURST REGIONAL COUNCIL,1,NSW,0,0,12227,4539,11863,343,21,12205,22,0,1064000,170
NSW254,MARRICKVILLE COUNCIL,1,NSW,0,0,36610,6047,36461,147,2,36608,2,0,463000,242
NSW294,WILLOUGHBY CITY COUNCIL,1,NSW,8256,0,24250,312,32382,88,36,32452,13,41,342000,264
NSW309,KEMPSEY SHIRE COUNCIL,1,NSW,6319,0,4899,0,8749,964,1505,9572,623,1023,19066000,15
NT60,LITCHFIELD MUNICIPALITY,7,NT,0,0,0,9127,0,0,0,0,0,0,447000,243
QLD142,TOWNSVILLE CITY,3,QLD,523,0,78338,8234,75828,1813,1220,76568,1582,711,3979000,61
QLD279,GOONDIWINDI REGIONAL,3,QLD,11,0,92,4902,92,11,0,92,11,0,2386000,97
QLD9,BARCOO SHIRE,3,QLD,0,0,0,0,0,0,0,0,0,0,0,497
SA131,THE DC OF ORROROO CARRIETON,4,SA,0,0,0,766,0,0,0,0,0,0,5000,454
NSW246,KOGARAH CITY COUNCIL,1,NSW,5856,0,21082,62,26860,49,29,26878,30,30,241000,297
NSW255,URANA SHIRE COUNCIL,1,NSW,0,0,10,1071,0,2,8,0,10,0,71000,373
NSW295,FAIRFIELD CITY COUNCIL,1,NSW,32472,0,39939,0,66703,2745,2963,68363,1264,2784,15685000,21
NT61,COOMALIE SHIRE,7,NT,0,0,0,562,0,0,0,0,0,0,41000,401
NT64,UN-INCORPORATED (ELRUNDIE) AREA,7,NT,0,0,0,0,0,0,0,0,0,0,0,497
SA110,THE DC OF BARUNGA WEST,4,SA,0,0,1631,9,1607,6,18,1606,8,17,47000,396
TAS84,TASMAN COUNCIL,6,TAS,0,0,2301,86,2062,225,14,2062,225,14,161000,330
VIC128,KNOX CITY,2,VIC,0,0,65056,0,65053,2,1,65045,7,4,6000,450
VIC89,GLEN EIRA CITY,2,VIC,0,0,69970,0,69869,89,12,69850,35,85,87000,365
WA289,TOWN OF NARROGIN,5,WA,0,0,668,1974,659,9,0,659,9,0,251000,294
NSW181,RYDE CITY COUNCIL,1,NSW,8282,0,40850,1995,48984,125,23,49091,29,12,548000,231
NSW230,GRIFFITH CITY COUNCIL,1,NSW,2339,0,111,8459,1832,526,92,1733,454,263,1566000,133
NSW244,TUMBARUMBA SHIRE COUNCIL,1,NSW,0,0,1147,0,1083,18,46,1099,48,0,226000,306
NSW258,KU-RING-GAI COUNCIL,1,NSW,197,0,49353,0,49550,0,0,49550,0,0,0,497
NSW298,SUTHERLAND SHIRE COUNCIL,1,NSW,15875,0,88463,0,103501,231,606,103704,605,29,4276000,59
NT59,BELYUEN SHIRE,7,NT,0,0,0,0,0,0,0,0,0,0,0,497
SA81,CITY OF PROSPECT,4,SA,0,0,10608,0,10608,0,0,10608,0,0,0,497
SA83,CITY OF UNLEY,4,SA,0,0,2317,18077,2317,0,0,2317,0,0,1274000,144
NSW218,CENTRAL DARLING SHIRE COUNCIL,1,NSW,0,0,0,1345,0,0,0,0,0,0,177000,325
NSW232,MOSMAN MUNICIPAL COUNCIL,1,NSW,0,0,16111,6,16111,0,0,16111,0,0,0,497
NSW274,ARMIDALE DUMARESQ COUNCIL,1,NSW,0,0,5476,5866,5476,0,0,5476,0,0,303000,274
NSW288,WINGECARRIBEE SHIRE COUNCIL,1,NSW,0,0,20929,0,20565,206,158,20747,182,0,754000,204
NT70,WAGAIT SHIRE,7,NT,0,0,0,427,0,0,0,0,0,0,0,497
QLD274,CENTRAL HIGHLANDS REGIONAL,3,QLD,1885,0,2,11371,0,0,1887,0,1887,0,4529000,56
QLD303,NAPRANUM ABORIGINAL SHIRE,3,QLD,0,0,0,0,0,0,0,0,0,0,0,497
QLD309,PORMPURAAW ABORIGINAL SHIRE,3,QLD,0,0,0,256,0,0,0,0,0,0,0,497
QLD316,DOUGLAS SHIRE,3,QLD,0,0,0,8798,0,0,0,0,0,0,188000,316
SA77,CITY OF MOUNT GAMBIER,4,SA,0,0,14653,0,14167,188,298,14237,193,223,2811000,82
NSW277,HAWKESBURY CITY COUNCIL,1,NSW,16870,0,2053,0,7214,7700,4009,15770,2647,506,25176000,8
QLD59,FLINDERS SHIRE,3,QLD,0,0,0,1870,0,0,0,0,0,0,35000,409
SA101,CITY OF TEA TREE GULLY,4,SA,0,0,46870,0,46772,70,28,46775,61,34,82000,367
SA143,MOUNT BARKER DISTRICT COUNCIL,4,SA,0,0,323,12837,323,0,0,323,0,0,102000,358
VIC164,INDIGO SHIRE,2,VIC,188,0,5305,0,5181,301,11,5238,255,0,239000,299
WA368,TOWN OF CLAREMONT,5,WA,0,2996,2484,0,5477,3,0,5478,2,0,4000,456
WA386,SHIRE OF NORTHAM,5,WA,0,4020,1597,0,4818,574,225,5469,116,32,832000,193
NSW179,DUBBO CITY COUNCIL,1,NSW,2579,0,16311,0,17622,927,341,18493,392,5,820000,194
NSW200,COUNCIL OF THE CITY OF SYDNEY,1,NSW,0,0,117698,114,117632,66,0,117698,0,0,4000,456
NSW300,COOTAMUNDRA SHIRE COUNCIL,1,NSW,0,0,3628,0,2085,1002,541,2691,937,0,1444000,136
NSW302,BREWARRINA SHIRE COUNCIL,1,NSW,0,0,0,790,0,0,0,0,0,0,123000,349
QLD306,PALM ISLAND ABORIGINAL SHIRE,3,QLD,0,0,0,0,0,0,0,0,0,0,0,497
SA122,THE FLINDERS RANGES COUNCIL,4,SA,0,0,0,1924,0,0,0,0,0,0,156000,335
SA136,THE BERRI BARMERA COUNCIL,4,SA,4150,0,0,0,4075,74,1,4075,75,0,49000,394
SA95,SOUTHERN MALLEE DC,4,SA,0,0,0,1229,0,0,0,0,0,0,0,497
TAS90,HOBART CITY COUNCIL,6,TAS,0,0,29594,0,29538,25,31,29537,12,45,730000,208
WA306,SHIRE OF QUAIRADING,5,WA,0,0,578,0,578,0,0,578,0,0,0,497
WA308,CITY OF ROCKINGHAM,5,WA,0,11302,45599,0,56252,416,233,56202,237,462,1672000,128
WA327,SHIRE OF WONGAN-BALLIDU,5,WA,0,0,924,19,923,0,1,923,0,1,3000,463
WA336,SHIRE OF PINGELLY,5,WA,0,0,766,1,766,0,0,766,0,0,0,497
NSW162,COOMA-MONARO COUNCIL,1,NSW,0,0,4511,0,3986,252,273,4230,281,0,964000,178
NSW177,LANE COVE MUNICIPAL COUNCIL,1,NSW,0,0,16748,2357,16734,14,0,16748,0,0,12000,437
NSW196,STRATHFIELD MUNICIPAL COUNCIL,1,NSW,0,0,16449,556,16219,199,31,16415,34,0,322000,269
NSW241,SINGLETON SHIRE COUNCIL,1,NSW,6511,0,1859,0,5418,1570,1382,6501,1620,249,4268000,60
NSW249,WOLLONDILLY SHIRE COUNCIL,1,NSW,1093,0,11421,0,12217,262,35,12445,52,17,299000,276
NT75,WEST ARNHEM SHIRE,7,NT,0,0,0,779,0,0,0,0,0,0,1000,480
QLD285,MORETON BAY REGIONAL,3,QLD,190497,0,0,0,182373,5182,2942,182004,1917,6576,17136000,18
SA113,THE DC OF CLEVE,4,SA,0,0,0,940,0,0,0,0,0,0,1000,480
SA114,THE DC OF COOBER PEDY,4,SA,0,0,0,2156,0,0,0,0,0,0,0,497
SA116,THE DC OF FRANKLIN HARBOUR,4,SA,0,0,0,984,0,0,0,0,0,0,5000,454
SA86,COORONG DC,4,SA,0,0,391,2209,199,157,35,320,56,15,235000,301
SA94,THE DC OF PETERBOROUGH,4,SA,0,0,0,1243,0,0,0,0,0,0,0,497
NSW210,WARRUMBUNGLE SHIRE COUNCIL,1,NSW,0,0,4665,0,3563,476,626,3977,688,0,2484000,91
NSW223,GLOUCESTER SHIRE COUNCIL,1,NSW,0,0,1862,0,1839,13,10,1852,10,0,40000,403
NSW234,THE COUNCIL OF THE SHIRE OF HORNSBY,1,NSW,708,0,64886,790,65228,218,148,65433,73,88,1040000,172
NSW263,SNOWY RIVER SHIRE COUNCIL,1,NSW,0,0,5081,0,4851,154,76,4943,138,0,371000,256
NSW275,LIVERPOOL CITY COUNCIL,1,NSW,48024,0,26961,0,67045,5305,2635,71333,2290,1362,10948000,27
NSW280,CESSNOCK CITY COUNCIL,1,NSW,7107,0,15625,0,20572,1558,602,21912,762,58,2592000,87
NSW292,WELLINGTON COUNCIL,1,NSW,0,0,969,2797,896,60,13,949,20,0,649000,218
NSW310,WOLLONGONG CITY COUNCIL,1,NSW,55215,0,37625,12,84987,3781,4072,85494,2382,4964,27888000,6
NSW312,SHOALHAVEN CITY COUNCIL,1,NSW,22565,0,33960,49,51394,2673,2458,53005,1721,1799,16449000,19
NT57,BARKLY SHIRE,7,NT,0,0,0,2289,0,0,0,0,0,0,6000,450
