LOC_PID,NAME,LOC_CODE,LOC_DESC,STATE_PID,ST_ABBREV,COUNT_BY_GOV_FM,COUNT_BY_GOV_OD,COUNT_BY_INTERNAL_MODEL,COUNT_BY_3RD_PARTY,COUNT_LOW_AAD,COUNT_MEDIUM_AAD,COUNT_HIGH_AAD,COUNT_LOW_FREQUENCY,COUNT_MEDIUM_FREQUENCY,COUNT_HIGH_FREQUENCY,TOTAL_AAD,RANK_AAD
ACT110,CAMPBELL,G,GAZETTED LOCALITY,8,ACT,0,0,1572,0,1571,1,0,1572,0,0,1000,3971
ACT122,RUSSELL,G,GAZETTED LOCALITY,8,ACT,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1002,COMBARA,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1009,COMO,G,GAZETTED LOCALITY,1,NSW,164,0,1345,0,1509,0,0,1509,0,0,1000,3971
NSW1174,CUNDLETOWN,G,GAZETTED LOCALITY,1,NSW,688,0,78,0,674,77,15,741,23,2,72000,1521
NSW1176,CUNJURONG POINT,G,GAZETTED LOCALITY,1,NSW,108,0,67,0,175,0,0,175,0,0,0,4537
NSW1095,CORRIMAL,G,GAZETTED LOCALITY,1,NSW,2460,0,833,0,2539,208,546,2577,180,536,4435000,49
NSW1099,COTTAGE POINT,G,GAZETTED LOCALITY,1,NSW,0,0,90,0,90,0,0,90,0,0,0,4537
ACT103,O'CONNOR,G,GAZETTED LOCALITY,8,ACT,2803,0,31,0,1874,0,960,1874,909,51,1890000,148
ACT104,AINSLIE,G,GAZETTED LOCALITY,8,ACT,1407,0,1168,0,2575,0,0,2575,0,0,0,4537
NSW1094,CORRABARE,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1102,COURABYRA,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
ACT102,DICKSON,G,GAZETTED LOCALITY,8,ACT,1083,0,84,0,1053,0,114,1053,114,0,156000,1055
ACT214,BARTON,G,GAZETTED LOCALITY,8,ACT,0,0,744,0,711,33,0,744,0,0,17000,2565
ACT332,TORRENS,G,GAZETTED LOCALITY,8,ACT,19,0,1016,0,1035,0,0,1035,0,0,0,4537
NSW11,ABERMAIN,G,GAZETTED LOCALITY,1,NSW,1007,0,95,0,1046,32,24,1073,6,23,142000,1106
NSW1112,COXS CREEK,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
ACT125,WATSON,G,GAZETTED LOCALITY,8,ACT,167,0,2432,0,2599,0,0,2599,0,0,0,4537
ACT219,FYSHWICK,G,GAZETTED LOCALITY,8,ACT,0,0,0,0,0,0,0,0,0,0,0,4537
ACT328,CURTIN,G,GAZETTED LOCALITY,8,ACT,2249,0,33,0,2148,0,134,2148,133,1,259000,771
ACT337,CHIFLEY,G,GAZETTED LOCALITY,8,ACT,432,0,841,0,1273,0,0,1273,0,0,0,4537
NSW1092,COROBIMILLA,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1117,CRANEBROOK,G,GAZETTED LOCALITY,1,NSW,2029,0,3803,0,5042,272,518,5501,331,0,1096000,245
NSW1020,CONGEWAI,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW103,ASQUITH,G,GAZETTED LOCALITY,1,NSW,0,0,1514,0,1514,0,0,1514,0,0,0,4537
NSW1032,COOKS HILL,G,GAZETTED LOCALITY,1,NSW,2333,0,0,0,2080,253,0,2080,253,0,109000,1255
NSW1432,EMU HEIGHTS,G,GAZETTED LOCALITY,1,NSW,766,0,444,0,752,227,231,1082,124,4,684000,387
NSW1447,ERIN VALE,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1334,DUNGEREE,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1341,DUNS CREEK,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1516,FAWCETTS PLAIN,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1537,FINLEY,G,GAZETTED LOCALITY,1,NSW,0,0,0,1588,0,0,0,0,0,0,250000,786
NSW1128,CRINGILA,G,GAZETTED LOCALITY,1,NSW,262,0,597,0,859,0,0,859,0,0,0,4537
NSW1133,CROOBYAR,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1118,CRANGAN BAY,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1122,CRAWNEY,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1125,CREMORNE POINT,G,GAZETTED LOCALITY,1,NSW,0,0,1592,0,1592,0,0,1592,0,0,0,4537
NSW113,AVOCA,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW118,AWABA,G,GAZETTED LOCALITY,1,NSW,0,0,191,0,191,0,0,191,0,0,0,4537
NSW1208,DANDRY,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1220,DARKWOOD,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW123,BACK CREEK,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1729,GOONELLABAH,G,GAZETTED LOCALITY,1,NSW,0,0,6965,0,6965,0,0,6965,0,0,0,4537
NSW173,BANGALOW,G,GAZETTED LOCALITY,1,NSW,0,0,855,0,771,23,61,793,62,0,264000,763
NSW174,BANGHEET,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1629,GHOOLENDAADI,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW163,BALMORAL,G,GAZETTED LOCALITY,1,NSW,284,0,0,0,262,17,5,262,13,9,21000,2404
NSW1519,FERN BAY,G,GAZETTED LOCALITY,1,NSW,1107,0,0,0,623,79,405,663,431,13,406000,580
NSW1527,FERNSIDE,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1530,FIDDLETOWN,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1545,FITZGERALDS MOUNT,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
ACT334,FARRER,G,GAZETTED LOCALITY,8,ACT,170,0,1625,0,1795,0,0,1795,0,0,0,4537
ACT576,SPENCE,G,GAZETTED LOCALITY,8,ACT,125,0,928,0,1053,0,0,1053,0,0,0,4537
ACT327,HUGHES,G,GAZETTED LOCALITY,8,ACT,1360,0,0,0,1308,0,52,1308,52,0,109000,1255
ACT446,DUFFY,G,GAZETTED LOCALITY,8,ACT,0,0,1378,0,1378,0,0,1378,0,0,0,4537
ACT606,MACARTHUR,G,GAZETTED LOCALITY,8,ACT,48,0,469,0,517,0,0,517,0,0,0,4537
NSW1326,DUNDAS VALLEY,G,GAZETTED LOCALITY,1,NSW,0,0,2301,0,2301,0,0,2301,0,0,0,4537
NSW1352,DURREN DURREN,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
ACT619,BONYTHON,G,GAZETTED LOCALITY,8,ACT,143,0,1324,0,1465,0,2,1465,2,0,5000,3341
NSW1010,COMOBELLA,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1018,CONGARINNI,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1050,COOMA,G,GAZETTED LOCALITY,1,NSW,0,0,3844,0,3453,153,238,3603,241,0,826000,330
NSW1058,COONGBAR,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1061,COOPERS GULLY,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW1005,COMBOYNE,G,GAZETTED LOCALITY,1,NSW,0,0,166,0,164,1,1,165,1,0,3000,3575
